C,6.02800,H,0.73523,H,0.68241,H,0.78136,H,0.81510,C,6.68888,N,7.26902,
C,5.99760,H,0.70386,H,0.84375,H,0.61992,H,0.83694,C,6.70741,N,7.29052,
C,6.53289,H,0.82329,H,0.81079,H,0.82334,H,0.79477,C,6.01697,N,7.19795,
C,6.39582,H,0.82589,H,0.83104,H,0.82435,H,0.76917,C,6.37168,N,6.98205,
C,6.55348,H,0.81600,H,0.78670,H,0.81334,H,0.81373,C,6.02365,N,7.19309,
C,6.35187,H,0.82503,H,0.80455,H,0.83893,H,0.85183,C,5.83155,N,7.49623,
C,6.35646,H,0.82526,H,0.80717,H,0.83959,H,0.84478,C,5.83359,N,7.49315,
C,6.36437,H,0.82542,H,0.81376,H,0.83814,H,0.83465,C,5.83090,N,7.49275,
C,6.37416,H,0.82575,H,0.82419,H,0.83433,H,0.82226,C,5.82402,N,7.49529,
C,6.38236,H,0.82621,H,0.83502,H,0.82992,H,0.81069,C,5.81552,N,7.50027,
C,6.38758,H,0.82669,H,0.84540,H,0.82601,H,0.79921,C,5.80777,N,7.50734,
C,6.38784,H,0.82729,H,0.83928,H,0.82464,H,0.78999,C,5.81491,N,7.51605,
C,6.38124,H,0.82696,H,0.82681,H,0.82621,H,0.78393,C,5.82852,N,7.52633,
C,6.36944,H,0.82537,H,0.81977,H,0.83015,H,0.78037,C,5.83747,N,7.53744,
C,6.35990,H,0.82286,H,0.82202,H,0.83491,H,0.77960,C,5.83593,N,7.54477,
C,6.55227,H,0.81645,H,0.78747,H,0.81468,H,0.81284,C,6.01881,N,7.19748,
C,6.35751,H,0.81960,H,0.83228,H,0.83971,H,0.78083,C,5.82422,N,7.54585,
C,6.36513,H,0.81643,H,0.84493,H,0.84282,H,0.78287,C,5.80772,N,7.54009,
C,6.39503,H,0.81408,H,0.84830,H,0.84077,H,0.79017,C,5.79543,N,7.51623,
C,6.40366,H,0.81523,H,0.84359,H,0.83656,H,0.79702,C,5.80003,N,7.50390,
C,6.40350,H,0.81757,H,0.83678,H,0.83233,H,0.80781,C,5.81063,N,7.49138,
C,6.39617,H,0.82046,H,0.82994,H,0.83000,H,0.82042,C,5.82321,N,7.47979,
C,6.40926,H,0.82416,H,0.82665,H,0.83056,H,0.81546,C,5.82741,N,7.46651,
C,6.42479,H,0.82710,H,0.82237,H,0.83342,H,0.80567,C,5.83233,N,7.45432,
C,6.42935,H,0.82796,H,0.81501,H,0.83679,H,0.80255,C,5.84246,N,7.44589,
C,6.55150,H,0.81640,H,0.78793,H,0.81656,H,0.81187,C,6.01576,N,7.19999,
C,6.42457,H,0.82733,H,0.82491,H,0.83770,H,0.80822,C,5.83223,N,7.44503,
C,6.43183,H,0.82616,H,0.83778,H,0.83618,H,0.80494,C,5.81746,N,7.44564,
C,6.45176,H,0.82476,H,0.84577,H,0.83196,H,0.79180,C,5.80679,N,7.44715,
C,6.46612,H,0.82474,H,0.86615,H,0.81803,H,0.78140,C,5.78123,N,7.46233,
C,6.46189,H,0.82608,H,0.85872,H,0.81320,H,0.78137,C,5.78523,N,7.47350,
C,6.46372,H,0.82649,H,0.85088,H,0.80956,H,0.77664,C,5.78870,N,7.48401,
C,6.45851,H,0.82693,H,0.84450,H,0.80905,H,0.77643,C,5.79183,N,7.49275,
C,6.43988,H,0.82780,H,0.83050,H,0.81375,H,0.78715,C,5.80497,N,7.49595,
C,6.43644,H,0.82673,H,0.81855,H,0.81862,H,0.79042,C,5.81671,N,7.49252,
C,6.55100,H,0.81608,H,0.78786,H,0.81846,H,0.81130,C,6.01576,N,7.19954,
C,6.42662,H,0.82608,H,0.81422,H,0.82578,H,0.79874,C,5.82215,N,7.48641,
C,6.41226,H,0.82592,H,0.81793,H,0.83358,H,0.81046,C,5.81896,N,7.48089,
C,6.39821,H,0.82577,H,0.82767,H,0.84011,H,0.82259,C,5.80843,N,7.47722,
C,6.38867,H,0.82514,H,0.84054,H,0.84434,H,0.83208,C,5.79442,N,7.47481,
C,6.39574,H,0.82404,H,0.85152,H,0.84542,H,0.82918,C,5.78372,N,7.47038,
C,6.41028,H,0.82235,H,0.85221,H,0.84423,H,0.82279,C,5.78394,N,7.46420,
C,6.42651,H,0.82045,H,0.84816,H,0.84132,H,0.81623,C,5.78900,N,7.45833,
C,6.44025,H,0.81909,H,0.84015,H,0.83582,H,0.81320,C,5.79759,N,7.45391,
C,6.45758,H,0.81954,H,0.82981,H,0.81794,H,0.81596,C,5.80701,N,7.45216,
C,6.45626,H,0.81892,H,0.82123,H,0.81274,H,0.82211,C,5.81543,N,7.45331,
C,6.55008,H,0.81594,H,0.78662,H,0.81979,H,0.81169,C,6.02007,N,7.19581,
