C,-1.8327,1.932635,2.95419,H,-2.901298,1.906564,2.701327,H,-1.620044,1.770983,3.964157,H,-1.541535,1.093419,2.356975,H,-1.590996,2.907414,2.45564,C,0.7713053,-4.434273,-1.191664,N,-0.06868019,-4.42187,-0.4008733
C,-1.838943,1.931611,2.948416,H,-2.908996,1.875345,2.74363,H,-1.627828,1.852166,3.978325,H,-1.553129,1.055332,2.449482,H,-1.608696,2.876425,2.379568,C,0.7723264,-4.450546,-1.182629,N,-0.06462963,-4.444401,-0.4157724
C,-1.847481,1.932353,2.940198,H,-2.921336,1.845194,2.796742,H,-1.630756,1.938606,4.007844,H,-1.546825,1.003449,2.531575,H,-1.617172,2.831866,2.316857,C,0.7761654,-4.466837,-1.176168,N,-0.0629955,-4.466916,-0.4284641
C,-1.857776,1.934057,2.931363,H,-2.938794,1.817391,2.856454,H,-1.630788,2.03116,4.03534,H,-1.525287,0.942525,2.605021,H,-1.617427,2.776479,2.265577,C,0.7842057,-4.483089,-1.173471,N,-0.06497586,-4.489377,-0.4379108
C,-1.869181,1.935024,2.923625,H,-2.959093,1.793034,2.918354,H,-1.629831,2.127873,4.044242,H,-1.495505,0.8878798,2.675242,H,-1.610567,2.71608,2.220844,C,0.7965559,-4.499269,-1.174535,N,-0.07066381,-4.511812,-0.4441163
C,-1.881266,1.933726,2.918366,H,-2.977818,1.773103,2.97805,H,-1.628779,2.225206,4.025155,H,-1.464971,0.8541757,2.745737,H,-1.598011,2.656691,2.176483,C,0.811976,-4.515409,-1.178191,N,-0.07898387,-4.534283,-0.4480983
C,-1.893734,1.929508,2.916395,H,-2.990564,1.758327,3.031241,H,-1.627619,2.319438,3.976021,H,-1.439304,0.8494786,2.81716,H,-1.58231,2.60097,2.12858,C,0.8283682,-4.531556,-1.182639,N,-0.08813003,-4.556804,-0.4514126
C,-1.906188,1.922711,2.917637,H,-2.995027,1.748826,3.074205,H,-1.625657,2.407848,3.901376,H,-1.421563,0.8745072,2.888535,H,-1.567938,2.546813,2.078176,C,0.8434495,-4.547742,-1.186049,N,-0.09615189,-4.579293,-0.4556173
C,-1.918152,1.914389,2.921134,H,-2.992144,1.743872,3.104642,H,-1.621629,2.490152,3.811297,H,-1.411549,0.9225583,2.95859,H,-1.560624,2.489489,2.030159,C,0.8553668,-4.56397,-1.187037,N,-0.1014801,-4.601603,-0.4618706
C,-1.929342,1.905942,2.925493,H,-2.985922,1.74199,3.122266,H,-1.614109,2.569349,3.717818,H,-1.404884,0.9799136,3.027326,H,-1.565548,2.424503,1.989391,C,0.863086,-4.580297,-1.184878,N,-0.1032277,-4.623684,-0.4707949
C,2.649527,-0.695892,-3.065414,H,2.440014,-0.5151892,-4.127145,H,-0.4469058,-2.739519,-2.943782,H,3.260095,-1.603858,-2.968117,H,1.827555,-0.8000329,-2.347429,C,0.2495464,-3.627168,-3.224564,N,0.4330131,-4.760249,-3.264235
C,-1.939742,1.898931,2.929477,H,-2.982306,1.7413,3.128765,H,-1.60288,2.649284,3.629647,H,-1.393418,1.02856,3.097036,H,-1.585786,2.349177,1.95794,C,0.8665136,-4.596815,-1.179547,N,-0.1012952,-4.6456,-0.482439
C,-1.949208,1.894637,2.932488,H,-2.98684,1.740085,3.12699,H,-1.590486,2.729616,3.549078,H,-1.370461,1.055607,3.170981,H,-1.621608,2.263222,1.934509,C,0.8664292,-4.613503,-1.171686,N,-0.09635334,-4.667356,-0.4962489
C,-1.957195,1.893264,2.934814,H,-3.001571,1.737378,3.120169,H,-1.581746,2.804962,3.473135,H,-1.338203,1.063705,3.250011,H,-1.670508,2.167888,1.91459,C,0.8644849,-4.630293,-1.162515,N,-0.08981652,-4.689024,-0.5111824
